Month,Sales,Exponential Estimate,log(Sales),Linear Estimate,SSE,Y=alpha*exp(beta*X),
1,32,28.67383633,3.465735903,3.355985081,4.325464121,,
2,38,30.09930476,3.63758616,3.404502074,,Intercept,3.307468088
3,30,31.59563779,3.401197382,3.453019066,,beta,0.048516993
4,30,33.16635834,3.401197382,3.501536059,,,
5,42,34.81516445,3.737669618,3.550053052,,alpha,27.31587645
6,39,36.54593801,3.663561646,3.598570045,,,
7,43,38.36275387,3.761200116,3.647087038,,,
8,51,40.26988948,3.931825633,3.69560403,,,
9,37,42.27183492,3.610917913,3.744121023,,,
10,32,44.3733035,3.465735903,3.792638016,,,
11,36,46.57924282,3.583518938,3.841155009,,,
12,45,48.89484646,3.80666249,3.889672002,,,
13,58,51.32556619,4.060443011,3.938188994,,,
14,50,53.8771248,3.912023005,3.986705987,,,
15,40,56.55552958,3.688879454,4.03522298,,,
16,55,59.36708645,4.007333185,4.083739973,,,
17,45,62.31841484,3.80666249,4.132256965,,,
18,59,65.41646324,4.077537444,4.180773958,,,
19,71,68.66852556,4.262679877,4.229290951,,,
20,61,72.08225834,4.110873864,4.277807944,,,
21,58,75.66569873,4.060443011,4.326324937,,,
22,80,79.42728344,4.382026635,4.374841929,,,
23,89,83.3758686,4.48863637,4.423358922,,,
24,78,87.5207506,4.356708827,4.471875915,,,
25,96,91.87168799,4.564348191,4.520392908,,,
26,106,96.43892444,4.663439094,4.568909901,,,
27,97,101.2332129,4.574710979,4.617426893,,,
28,114,106.2658408,4.736198448,4.665943886,,,
29,108,111.5486567,4.682131227,4.714460879,,,
30,107,117.0940984,4.672828834,4.762977872,,,
31,120,122.9152219,4.787491743,4.811494865,,,
32,101,129.025732,4.615120517,4.860011857,,,
33,145,135.4400152,4.976733742,4.90852885,,,
34,149,142.173173,5.003946306,4.957045843,,,
35,187,149.2410577,5.231108617,5.005562836,,,
36,190,156.6603096,5.247024072,5.054079828,,,
37,212,164.4483964,5.356586275,5.102596821,,,
38,212,172.6236539,5.356586275,5.151113814,,,
39,196,181.2053297,5.278114659,5.199630807,,,
40,157,190.2136282,5.056245805,5.2481478,,,
41,198,199.6697581,5.288267031,5.296664792,,,
42,189,209.5959826,5.241747015,5.345181785,,,
43,326,220.0156715,5.786897381,5.393698778,,,
44,252,230.9533566,5.529429088,5.442215771,,,
45,291,242.4347892,5.673323267,5.490732764,,,
46,231,254.4870006,5.442417711,5.539249756,,,
47,248,267.1383661,5.513428746,5.587766749,,,
48,379,280.4186715,5.937536205,5.636283742,,,
49,394,294.3591836,5.976350909,5.684800735,,,
50,204,308.9927233,5.318119994,5.733317727,,,
51,287,324.3537432,5.659482216,5.78183472,,,
52,534,340.4784087,6.280395839,5.830351713,,,
53,370,357.4046831,5.913503006,5.878868706,,,
54,380,375.1724169,5.940171253,5.927385699,,,
55,297,393.8234417,5.693732139,5.975902691,,,
56,407,413.4016689,6.008813185,6.024419684,,,
57,455,433.9531925,6.120297419,6.072936677,,,
58,508,455.5263984,6.230481448,6.12145367,,,
59,498,478.1720775,6.210600077,6.169970663,,,
60,362,501.9435461,5.891644212,6.218487655,,,
61,530,526.8967706,6.272877007,6.267004648,,,
62,682,553.0905,6.525029658,6.315521641,,,
63,601,580.5864037,6.398594935,6.364038634,,,
64,545,609.4492171,6.300785795,6.412555626,,,
65,558,639.7468935,6.324358962,6.461072619,,,
66,766,671.5507647,6.64118217,6.509589612,,,
67,570,704.9357083,6.345636361,6.558106605,,,
68,821,739.9803247,6.710523109,6.606623598,,,
69,618,776.7671214,6.426488457,6.65514059,,,
70,595,815.3827078,6.388561406,6.703657583,,,
71,911,855.917999,6.814542897,6.752174576,,,
72,798,898.4684295,6.682108597,6.800691569,,,
73,1034,943.1341785,6.941190055,6.849208562,,,
74,1201,990.0204053,7.090909822,6.897725554,,,
75,1215,1039.237497,7.102499356,6.946242547,,,
76,1896,1090.901328,7.547501683,6.99475954,,,
77,1393,1145.133534,7.239214974,7.043276533,,,
78,1541,1202.061797,7.340186835,7.091793525,,,
79,1202,1261.820146,7.091742115,7.140310518,,,
80,1116,1324.549275,7.017506143,7.188827511,,,
81,1107,1390.396871,7.009408933,7.237344504,,,
82,1208,1459.517961,7.096721378,7.285861497,,,
83,1497,1532.075283,7.311218384,7.334378489,,,
84,1798,1608.239662,7.494430215,7.382895482,,,
85,1826,1688.190417,7.509883061,7.431412475,,,
86,1980,1772.11578,7.590852124,7.479929468,,,
87,1820,1860.213343,7.50659178,7.528446461,,,
88,1975,1952.690518,7.588323677,7.576963453,,,
89,1800,2049.76503,7.495541944,7.625480446,,,
90,2778,2151.665428,7.929486523,7.673997439,,,
91,2553,2258.631621,7.845024417,7.722514432,,,
92,2467,2370.915448,7.810758117,7.771031424,,,
93,3761,2488.781264,8.232440158,7.819548417,,,
94,2723,2612.506567,7.909489493,7.86806541,,,
95,3387,2742.382653,8.127699853,7.916582403,,,
96,2674,2878.715295,7.891330758,7.965099396,,,
97,2824,3021.825471,7.945909599,8.013616388,,,
98,2599,3172.050113,7.862882035,8.062133381,,,
